"control","level","title","subscription","resource","status","details"
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Production","kv-prod-secrets","FAIL","Vault 'kv-prod-secrets': Non-compliant. Setting needs to be enabled."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Production","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Production","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Staging","kv-prod-keys","FAIL","Vault 'kv-prod-keys': Non-compliant. Setting needs to be enabled."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Staging","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Staging","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Staging","kv-dev-test","FAIL","Vault 'kv-dev-test': Non-compliant. Setting needs to be enabled."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Development","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Development","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Development","kv-stag-app","INFO","Vault 'kv-stag-app': Not applicable."
"8.3.1","1","Ensure That the Expiration Date Is Set on All Keys (RBAC)","Development","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Production","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Production","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Production","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Production","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Staging","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Staging","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Staging","kv-stag-app","ERROR","Vault 'kv-stag-app': Cannot access data plane. Assign Key Vault Reader role."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Staging","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Development","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Development","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Development","kv-stag-app","FAIL","Vault 'kv-stag-app': Non-compliant. Setting needs to be enabled."
"8.3.2","1","Ensure That the Expiration Date Is Set on All Keys (Non-RBAC)","Development","kv-dev-test","FAIL","Vault 'kv-dev-test': Non-compliant. Setting needs to be enabled."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Production","kv-prod-keys","MANUAL","Vault 'kv-prod-keys': Not applicable."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Production","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Production","kv-stag-app","ERROR","Vault 'kv-stag-app': Cannot access data plane. Assign Key Vault Reader role."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Production","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Staging","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Staging","kv-prod-secrets","INFO","Vault 'kv-prod-secrets': Not applicable."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Staging","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Staging","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Development","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Development","kv-prod-secrets","INFO","Vault 'kv-prod-secrets': Not applicable."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Development","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.3","1","Ensure That the Expiration Date Is Set on All Secrets (RBAC)","Development","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Production","kv-prod-keys","ERROR","Vault 'kv-prod-keys': Cannot access data plane. Assign Key Vault Reader role."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Production","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Production","kv-stag-app","ERROR","Vault 'kv-stag-app': Cannot access data plane. Assign Key Vault Reader role."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Production","kv-dev-test","ERROR","Vault 'kv-dev-test': Cannot access data plane. Assign Key Vault Reader role."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Staging","kv-prod-keys","ERROR","Vault 'kv-prod-keys': Cannot access data plane. Assign Key Vault Reader role."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Staging","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Staging","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Staging","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Development","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Development","kv-prod-secrets","ERROR","Vault 'kv-prod-secrets': Cannot access data plane. Assign Key Vault Reader role."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Development","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.4","1","Ensure That the Expiration Date Is Set on All Secrets (Non-RBAC)","Development","kv-dev-test","FAIL","Vault 'kv-dev-test': Non-compliant. Setting needs to be enabled."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Production","kv-prod-keys","FAIL","Vault 'kv-prod-keys': Non-compliant. Setting needs to be enabled."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Production","kv-prod-secrets","MANUAL","Vault 'kv-prod-secrets': Not applicable."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Production","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Production","kv-dev-test","INFO","Vault 'kv-dev-test': Not applicable."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Staging","kv-prod-keys","FAIL","Vault 'kv-prod-keys': Non-compliant. Setting needs to be enabled."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Staging","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Staging","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Staging","kv-dev-test","FAIL","Vault 'kv-dev-test': Non-compliant. Setting needs to be enabled."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Development","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Development","kv-prod-secrets","FAIL","Vault 'kv-prod-secrets': Non-compliant. Setting needs to be enabled."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Development","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.5","1","Ensure That Azure Key Vault Has Purge Protection Enabled","Development","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Production","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Production","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Production","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Production","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Staging","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Staging","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Staging","kv-stag-app","FAIL","Vault 'kv-stag-app': Non-compliant. Setting needs to be enabled."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Staging","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Development","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Development","kv-prod-secrets","FAIL","Vault 'kv-prod-secrets': Non-compliant. Setting needs to be enabled."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Development","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.6","2","Ensure That Azure Key Vault Uses RBAC for Authorization","Development","kv-dev-test","INFO","Vault 'kv-dev-test': Not applicable."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Production","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Production","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Production","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Production","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Staging","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Staging","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Staging","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Staging","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Development","kv-prod-keys","INFO","Vault 'kv-prod-keys': Not applicable."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Development","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Development","kv-stag-app","FAIL","Vault 'kv-stag-app': Non-compliant. Setting needs to be enabled."
"8.3.7","1","Ensure That Azure Key Vault Disables Public Network Access","Development","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Production","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Production","kv-prod-secrets","FAIL","Vault 'kv-prod-secrets': Non-compliant. Setting needs to be enabled."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Production","kv-stag-app","ERROR","Vault 'kv-stag-app': Cannot access data plane. Assign Key Vault Reader role."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Production","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Staging","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Staging","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Staging","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Staging","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Development","kv-prod-keys","FAIL","Vault 'kv-prod-keys': Non-compliant. Setting needs to be enabled."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Development","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Development","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.8","2","Ensure That Private Endpoints Are Used for Azure Key Vaults","Development","kv-dev-test","FAIL","Vault 'kv-dev-test': Non-compliant. Setting needs to be enabled."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Production","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Production","kv-prod-secrets","FAIL","Vault 'kv-prod-secrets': Non-compliant. Setting needs to be enabled."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Production","kv-stag-app","INFO","Vault 'kv-stag-app': Not applicable."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Production","kv-dev-test","FAIL","Vault 'kv-dev-test': Non-compliant. Setting needs to be enabled."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Staging","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Staging","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Staging","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Staging","kv-dev-test","FAIL","Vault 'kv-dev-test': Non-compliant. Setting needs to be enabled."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Development","kv-prod-keys","FAIL","Vault 'kv-prod-keys': Non-compliant. Setting needs to be enabled."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Development","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Development","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.9","2","Ensure That Automatic Key Rotation Is Enabled for Key Vault Keys","Development","kv-dev-test","FAIL","Vault 'kv-dev-test': Non-compliant. Setting needs to be enabled."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Production","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Production","kv-prod-secrets","MANUAL","Vault 'kv-prod-secrets': Not applicable."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Production","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Production","kv-dev-test","ERROR","Vault 'kv-dev-test': Cannot access data plane. Assign Key Vault Reader role."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Staging","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Staging","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Staging","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Staging","kv-dev-test","PASS","Vault 'kv-dev-test': Compliant."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Development","kv-prod-keys","PASS","Vault 'kv-prod-keys': Compliant."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Development","kv-prod-secrets","PASS","Vault 'kv-prod-secrets': Compliant."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Development","kv-stag-app","PASS","Vault 'kv-stag-app': Compliant."
"8.3.11","1","Ensure That Certificate Validity Period Is Not More Than 12 Months","Development","kv-dev-test","INFO","Vault 'kv-dev-test': Not applicable."
"8.4.1","2","Ensure That Azure Bastion Host Exists","Production","","PASS","Compliant."
"8.4.1","2","Ensure That Azure Bastion Host Exists","Staging","","PASS","Compliant."
"8.4.1","2","Ensure That Azure Bastion Host Exists","Development","","PASS","Compliant."
"8.5","2","Ensure That Azure DDoS Network Protection Is Enabled","Production","","FAIL","Non-compliant. Configuration update required."
"8.5","2","Ensure That Azure DDoS Network Protection Is Enabled","Staging","","PASS","Compliant."
"8.5","2","Ensure That Azure DDoS Network Protection Is Enabled","Development","","PASS","Compliant."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Production","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Production","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Production","stdevbackup01","INFO","Account 'stdevbackup01': ADLS Gen2 — control does not apply."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Staging","ststagapp01","INFO","Account 'ststagapp01': ADLS Gen2 — control does not apply."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Staging","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Development","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.1.1","1","Ensure Soft Delete Is Enabled for Azure File Shares","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Production","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Production","stprodlogs02","ERROR","Account 'stprodlogs02': Access denied or query error."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Production","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Development","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Development","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Development","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.1.2","1","Ensure SMB Access Is Restricted to SMB 3.1.1+","Development","stdevbackup01","ERROR","Account 'stdevbackup01': Access denied or query error."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Production","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Production","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Production","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Production","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Staging","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Staging","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Staging","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Staging","stdevdata01","PASS","Account 'stdevdata01': Compliant."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Staging","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Development","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Development","stprodlogs02","PASS","Account 'stprodlogs02': Compliant."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Development","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.1.3","1","Ensure 'SMB' Channel Encryption Is Set to AES-256-GCM","Development","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Production","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Production","stprodlogs02","ERROR","Account 'stprodlogs02': Access denied or query error."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Production","ststagapp01","FAIL","Account 'ststagapp01': Non-compliant. Setting needs to be enabled."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Production","stdevdata01","ERROR","Account 'stdevdata01': Access denied or query error."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Production","stdevbackup01","PASS","Account 'stdevbackup01': Compliant."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Staging","stproddata01","PASS","Account 'stproddata01': Compliant."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Staging","stprodlogs02","ERROR","Account 'stprodlogs02': Access denied or query error."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Staging","ststagapp01","FAIL","Account 'ststagapp01': Non-compliant. Setting needs to be enabled."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Staging","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Staging","stdevbackup01","INFO","Account 'stdevbackup01': ADLS Gen2 — control does not apply."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Development","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Development","stprodlogs02","FAIL","Account 'stprodlogs02': Non-compliant. Setting needs to be enabled."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Development","ststagapp01","PASS","Account 'ststagapp01': Compliant."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Development","stdevdata01","FAIL","Account 'stdevdata01': Non-compliant. Setting needs to be enabled."
"9.2.1","1","Ensure That 'Blob Service' Soft Delete Is Set to 'Enabled'","Development","stdevbackup01","INFO","Account 'stdevbackup01': ADLS Gen2 — control does not apply."
"9.2.2","1","Ensure That Container Soft Delete Is Set to 'Enabled'","Production","stproddata01","FAIL","Account 'stproddata01': Non-compliant. Setting needs to be enabled."
